episode=55, steps=624, epsilon=0.2949, server_farm_reward=247.0900, server_reward=191.5300, episode_total_reward=438.6200, avg_reward_per_step=0.7029, rejected_tasks=148, completed_jobs=53, wall_time=171.87
episode=56, steps=522, epsilon=0.2839, server_farm_reward=207.5700, server_reward=168.4400, episode_total_reward=376.0100, avg_reward_per_step=0.7203, rejected_tasks=124, completed_jobs=49, wall_time=137.05
episode=57, steps=546, epsilon=0.2723, server_farm_reward=181.4500, server_reward=128.2900, episode_total_reward=309.7400, avg_reward_per_step=0.5673, rejected_tasks=147, completed_jobs=52, wall_time=140.94
episode=58, steps=556, epsilon=0.2606, server_farm_reward=223.3000, server_reward=176.1700, episode_total_reward=399.4700, avg_reward_per_step=0.7185, rejected_tasks=113, completed_jobs=50, wall_time=174.34
episode=59, steps=554, epsilon=0.2489, server_farm_reward=216.7500, server_reward=162.0200, episode_total_reward=378.7700, avg_reward_per_step=0.6837, rejected_tasks=138, completed_jobs=53, wall_time=162.16
episode=60, steps=552, epsilon=0.2373, server_farm_reward=217.2600, server_reward=151.1800, episode_total_reward=368.4400, avg_reward_per_step=0.6675, rejected_tasks=135, completed_jobs=53, wall_time=189.58
episode=61, steps=534, epsilon=0.2260, server_farm_reward=201.1500, server_reward=149.9200, episode_total_reward=351.0700, avg_reward_per_step=0.6574, rejected_tasks=119, completed_jobs=53, wall_time=175.42
episode=62, steps=498, epsilon=0.2155, server_farm_reward=142.0800, server_reward=79.9900, episode_total_reward=222.0700, avg_reward_per_step=0.4459, rejected_tasks=95, completed_jobs=53, wall_time=162.19
episode=63, steps=572, epsilon=0.2034, server_farm_reward=265.4400, server_reward=198.5800, episode_total_reward=464.0200, avg_reward_per_step=0.8112, rejected_tasks=96, completed_jobs=52, wall_time=166.8
episode=64, steps=568, epsilon=0.1914, server_farm_reward=199.7400, server_reward=157.7600, episode_total_reward=357.5000, avg_reward_per_step=0.6294, rejected_tasks=154, completed_jobs=49, wall_time=169.26
episode=65, steps=472, epsilon=0.1814, server_farm_reward=108.0200, server_reward=73.9100, episode_total_reward=181.9300, avg_reward_per_step=0.3854, rejected_tasks=193, completed_jobs=49, wall_time=147.0
episode=66, steps=568, epsilon=0.1694, server_farm_reward=264.1800, server_reward=212.2600, episode_total_reward=476.4400, avg_reward_per_step=0.8388, rejected_tasks=116, completed_jobs=50, wall_time=184.18
episode=67, steps=512, epsilon=0.1586, server_farm_reward=167.0600, server_reward=110.9300, episode_total_reward=277.9900, avg_reward_per_step=0.5429, rejected_tasks=147, completed_jobs=52, wall_time=148.25
episode=68, steps=480, epsilon=0.1485, server_farm_reward=109.6200, server_reward=78.8400, episode_total_reward=188.4600, avg_reward_per_step=0.3926, rejected_tasks=165, completed_jobs=47, wall_time=147.88
episode=69, steps=546, epsilon=0.1370, server_farm_reward=169.4700, server_reward=118.6800, episode_total_reward=288.1500, avg_reward_per_step=0.5277, rejected_tasks=141, completed_jobs=47, wall_time=165.08
episode=70, steps=520, epsilon=0.1260, server_farm_reward=198.7700, server_reward=144.8000, episode_total_reward=343.5700, avg_reward_per_step=0.6607, rejected_tasks=122, completed_jobs=51, wall_time=157.83
episode=71, steps=496, epsilon=0.1155, server_farm_reward=152.3600, server_reward=110.9700, episode_total_reward=263.3300, avg_reward_per_step=0.5309, rejected_tasks=192, completed_jobs=50, wall_time=174.52
episode=72, steps=526, epsilon=0.1044, server_farm_reward=171.4500, server_reward=138.7700, episode_total_reward=310.2200, avg_reward_per_step=0.5898, rejected_tasks=113, completed_jobs=48, wall_time=160.81
episode=73, steps=498, epsilon=0.0939, server_farm_reward=192.9400, server_reward=140.9800, episode_total_reward=333.9200, avg_reward_per_step=0.6705, rejected_tasks=168, completed_jobs=52, wall_time=191.05
episode=74, steps=486, epsilon=0.0837, server_farm_reward=138.0800, server_reward=92.0700, episode_total_reward=230.1500, avg_reward_per_step=0.4736, rejected_tasks=113, completed_jobs=49, wall_time=181.53
episode=75, steps=482, epsilon=0.0735, server_farm_reward=131.3400, server_reward=89.5700, episode_total_reward=220.9100, avg_reward_per_step=0.4583, rejected_tasks=145, completed_jobs=52, wall_time=184.77
episode=76, steps=516, epsilon=0.0626, server_farm_reward=121.8100, server_reward=78.0500, episode_total_reward=199.8600, avg_reward_per_step=0.3873, rejected_tasks=155, completed_jobs=50, wall_time=159.06
episode=77, steps=490, epsilon=0.0522, server_farm_reward=164.0800, server_reward=129.7200, episode_total_reward=293.8000, avg_reward_per_step=0.5996, rejected_tasks=138, completed_jobs=47, wall_time=139.04
episode=78, steps=516, epsilon=0.0500, server_farm_reward=185.6200, server_reward=145.4500, episode_total_reward=331.0700, avg_reward_per_step=0.6416, rejected_tasks=188, completed_jobs=51, wall_time=188.18
episode=79, steps=584, epsilon=0.0500, server_farm_reward=231.3400, server_reward=189.8000, episode_total_reward=421.1400, avg_reward_per_step=0.7211, rejected_tasks=160, completed_jobs=48, wall_time=157.07
episode=80, steps=470, epsilon=0.0500, server_farm_reward=137.1800, server_reward=108.1000, episode_total_reward=245.2800, avg_reward_per_step=0.5219, rejected_tasks=180, completed_jobs=49, wall_time=170.48
episode=81, steps=480, epsilon=0.0500, server_farm_reward=153.3600, server_reward=107.6300, episode_total_reward=260.9900, avg_reward_per_step=0.5437, rejected_tasks=122, completed_jobs=49, wall_time=176.25
episode=82, steps=478, epsilon=0.0500, server_farm_reward=138.1400, server_reward=96.8200, episode_total_reward=234.9600, avg_reward_per_step=0.4915, rejected_tasks=144, completed_jobs=50, wall_time=160.47
episode=83, steps=498, epsilon=0.0500, server_farm_reward=168.6400, server_reward=128.1600, episode_total_reward=296.8000, avg_reward_per_step=0.5960, rejected_tasks=172, completed_jobs=50, wall_time=155.16
episode=84, steps=564, epsilon=0.0500, server_farm_reward=225.4500, server_reward=190.6500, episode_total_reward=416.1000, avg_reward_per_step=0.7378, rejected_tasks=168, completed_jobs=48, wall_time=160.36
episode=85, steps=490, epsilon=0.0500, server_farm_reward=164.3300, server_reward=145.9200, episode_total_reward=310.2500, avg_reward_per_step=0.6332, rejected_tasks=176, completed_jobs=45, wall_time=159.2
episode=86, steps=598, epsilon=0.0500, server_farm_reward=293.1500, server_reward=233.5700, episode_total_reward=526.7200, avg_reward_per_step=0.8808, rejected_tasks=105, completed_jobs=52, wall_time=183.51
episode=87, steps=544, epsilon=0.0500, server_farm_reward=239.6700, server_reward=191.2800, episode_total_reward=430.9500, avg_reward_per_step=0.7922, rejected_tasks=118, completed_jobs=48, wall_time=174.12
episode=88, steps=506, epsilon=0.0500, server_farm_reward=150.8900, server_reward=126.6300, episode_total_reward=277.5200, avg_reward_per_step=0.5485, rejected_tasks=111, completed_jobs=48, wall_time=212.3
episode=89, steps=490, epsilon=0.0500, server_farm_reward=145.7100, server_reward=94.4100, episode_total_reward=240.1200, avg_reward_per_step=0.4900, rejected_tasks=153, completed_jobs=51, wall_time=145.98
episode=90, steps=614, epsilon=0.0500, server_farm_reward=236.1500, server_reward=182.2700, episode_total_reward=418.4200, avg_reward_per_step=0.6815, rejected_tasks=159, completed_jobs=53, wall_time=170.19
episode=91, steps=590, epsilon=0.0500, server_farm_reward=261.4900, server_reward=199.9500, episode_total_reward=461.4400, avg_reward_per_step=0.7821, rejected_tasks=81, completed_jobs=51, wall_time=183.19
episode=92, steps=578, epsilon=0.0500, server_farm_reward=214.9200, server_reward=179.7500, episode_total_reward=394.6700, avg_reward_per_step=0.6828, rejected_tasks=137, completed_jobs=48, wall_time=168.18
episode=93, steps=650, epsilon=0.0500, server_farm_reward=330.4300, server_reward=264.8300, episode_total_reward=595.2600, avg_reward_per_step=0.9158, rejected_tasks=101, completed_jobs=53, wall_time=101.09
