episode=84, steps=478, epsilon=0.0890, server_farm_reward=103.2000, server_reward=55.0500, episode_total_reward=158.2500, avg_reward_per_step=0.3311, rejected_tasks=164, completed_jobs=52, wall_time=181.32
episode=85, steps=486, epsilon=0.0788, server_farm_reward=111.3200, server_reward=63.1300, episode_total_reward=174.4500, avg_reward_per_step=0.3590, rejected_tasks=153, completed_jobs=50, wall_time=182.85
episode=86, steps=478, epsilon=0.0687, server_farm_reward=75.2100, server_reward=39.0000, episode_total_reward=114.2100, avg_reward_per_step=0.2389, rejected_tasks=223, completed_jobs=50, wall_time=145.53
episode=87, steps=450, epsilon=0.0592, server_farm_reward=63.5200, server_reward=41.4400, episode_total_reward=104.9600, avg_reward_per_step=0.2332, rejected_tasks=149, completed_jobs=46, wall_time=171.03
episode=88, steps=458, epsilon=0.0500, server_farm_reward=48.7000, server_reward=10.9400, episode_total_reward=59.6400, avg_reward_per_step=0.1302, rejected_tasks=138, completed_jobs=49, wall_time=159.05
episode=89, steps=458, epsilon=0.0500, server_farm_reward=69.2100, server_reward=39.8400, episode_total_reward=109.0500, avg_reward_per_step=0.2381, rejected_tasks=175, completed_jobs=48, wall_time=142.5
episode=90, steps=452, epsilon=0.0500, server_farm_reward=37.0100, server_reward=16.8700, episode_total_reward=53.8800, avg_reward_per_step=0.1192, rejected_tasks=242, completed_jobs=46, wall_time=159.5
episode=91, steps=440, epsilon=0.0500, server_farm_reward=37.1100, server_reward=9.6900, episode_total_reward=46.8000, avg_reward_per_step=0.1064, rejected_tasks=158, completed_jobs=48, wall_time=156.29
episode=92, steps=474, epsilon=0.0500, server_farm_reward=64.7800, server_reward=27.0000, episode_total_reward=91.7800, avg_reward_per_step=0.1936, rejected_tasks=155, completed_jobs=47, wall_time=159.41
episode=93, steps=478, epsilon=0.0500, server_farm_reward=110.4200, server_reward=74.3000, episode_total_reward=184.7200, avg_reward_per_step=0.3864, rejected_tasks=146, completed_jobs=48, wall_time=183.25
episode=94, steps=466, epsilon=0.0500, server_farm_reward=73.4100, server_reward=31.7400, episode_total_reward=105.1500, avg_reward_per_step=0.2256, rejected_tasks=168, completed_jobs=50, wall_time=149.68
episode=95, steps=480, epsilon=0.0500, server_farm_reward=79.6500, server_reward=37.0000, episode_total_reward=116.6500, avg_reward_per_step=0.2430, rejected_tasks=172, completed_jobs=52, wall_time=191.41
episode=96, steps=478, epsilon=0.0500, server_farm_reward=105.1900, server_reward=58.2600, episode_total_reward=163.4500, avg_reward_per_step=0.3419, rejected_tasks=145, completed_jobs=52, wall_time=186.88
episode=97, steps=474, epsilon=0.0500, server_farm_reward=82.4500, server_reward=39.7900, episode_total_reward=122.2400, avg_reward_per_step=0.2579, rejected_tasks=199, completed_jobs=52, wall_time=189.09
episode=98, steps=458, epsilon=0.0500, server_farm_reward=38.3200, server_reward=7.7400, episode_total_reward=46.0600, avg_reward_per_step=0.1006, rejected_tasks=186, completed_jobs=48, wall_time=134.27
episode=99, steps=492, epsilon=0.0500, server_farm_reward=152.9400, server_reward=102.0400, episode_total_reward=254.9800, avg_reward_per_step=0.5183, rejected_tasks=128, completed_jobs=52, wall_time=178.32
episode=100, steps=444, epsilon=0.0500, server_farm_reward=5.3800, server_reward=-19.9600, episode_total_reward=-14.5800, avg_reward_per_step=-0.0328, rejected_tasks=164, completed_jobs=49, wall_time=142.14
episode=101, steps=470, epsilon=0.0500, server_farm_reward=45.1100, server_reward=2.0800, episode_total_reward=47.1900, avg_reward_per_step=0.1004, rejected_tasks=146, completed_jobs=49, wall_time=154.45
episode=102, steps=460, epsilon=0.0500, server_farm_reward=39.1600, server_reward=2.5400, episode_total_reward=41.7000, avg_reward_per_step=0.0907, rejected_tasks=165, completed_jobs=51, wall_time=148.09
episode=103, steps=456, epsilon=0.0500, server_farm_reward=67.1700, server_reward=41.7300, episode_total_reward=108.9000, avg_reward_per_step=0.2388, rejected_tasks=170, completed_jobs=47, wall_time=160.2
episode=104, steps=478, epsilon=0.0500, server_farm_reward=102.4200, server_reward=71.1300, episode_total_reward=173.5500, avg_reward_per_step=0.3631, rejected_tasks=184, completed_jobs=48, wall_time=181.81
episode=105, steps=468, epsilon=0.0500, server_farm_reward=44.2800, server_reward=7.2800, episode_total_reward=51.5600, avg_reward_per_step=0.1102, rejected_tasks=208, completed_jobs=49, wall_time=144.26
episode=106, steps=438, epsilon=0.0500, server_farm_reward=26.3900, server_reward=-1.3900, episode_total_reward=25.0000, avg_reward_per_step=0.0571, rejected_tasks=157, completed_jobs=50, wall_time=118.28
episode=107, steps=458, epsilon=0.0500, server_farm_reward=95.6500, server_reward=62.3200, episode_total_reward=157.9700, avg_reward_per_step=0.3449, rejected_tasks=146, completed_jobs=50, wall_time=182.37
episode=108, steps=472, epsilon=0.0500, server_farm_reward=45.4000, server_reward=9.7900, episode_total_reward=55.1900, avg_reward_per_step=0.1169, rejected_tasks=153, completed_jobs=46, wall_time=142.56
episode=109, steps=460, epsilon=0.0500, server_farm_reward=57.1500, server_reward=18.4800, episode_total_reward=75.6300, avg_reward_per_step=0.1644, rejected_tasks=172, completed_jobs=51, wall_time=165.18
episode=110, steps=462, epsilon=0.0500, server_farm_reward=89.5900, server_reward=55.1100, episode_total_reward=144.7000, avg_reward_per_step=0.3132, rejected_tasks=214, completed_jobs=50, wall_time=162.85
episode=111, steps=448, epsilon=0.0500, server_farm_reward=43.4600, server_reward=17.6800, episode_total_reward=61.1400, avg_reward_per_step=0.1365, rejected_tasks=178, completed_jobs=45, wall_time=136.97
episode=112, steps=468, epsilon=0.0500, server_farm_reward=116.5500, server_reward=81.1400, episode_total_reward=197.6900, avg_reward_per_step=0.4224, rejected_tasks=179, completed_jobs=50, wall_time=208.15
episode=113, steps=470, epsilon=0.0500, server_farm_reward=46.6600, server_reward=11.7400, episode_total_reward=58.4000, avg_reward_per_step=0.1243, rejected_tasks=214, completed_jobs=47, wall_time=160.94
episode=114, steps=476, epsilon=0.0500, server_farm_reward=107.2900, server_reward=63.4700, episode_total_reward=170.7600, avg_reward_per_step=0.3587, rejected_tasks=202, completed_jobs=50, wall_time=170.17
episode=115, steps=468, epsilon=0.0500, server_farm_reward=85.2200, server_reward=42.6100, episode_total_reward=127.8300, avg_reward_per_step=0.2731, rejected_tasks=194, completed_jobs=50, wall_time=163.8
episode=116, steps=478, epsilon=0.0500, server_farm_reward=101.2400, server_reward=51.8400, episode_total_reward=153.0800, avg_reward_per_step=0.3203, rejected_tasks=157, completed_jobs=52, wall_time=175.33
episode=117, steps=460, epsilon=0.0500, server_farm_reward=83.2000, server_reward=44.2700, episode_total_reward=127.4700, avg_reward_per_step=0.2771, rejected_tasks=136, completed_jobs=51, wall_time=179.8
episode=118, steps=478, epsilon=0.0500, server_farm_reward=74.0000, server_reward=29.3700, episode_total_reward=103.3700, avg_reward_per_step=0.2163, rejected_tasks=193, completed_jobs=52, wall_time=168.04
episode=119, steps=474, epsilon=0.0500, server_farm_reward=67.1700, server_reward=33.3700, episode_total_reward=100.5400, avg_reward_per_step=0.2121, rejected_tasks=211, completed_jobs=51, wall_time=158.05
episode=120, steps=438, epsilon=0.0500, server_farm_reward=31.0900, server_reward=8.4600, episode_total_reward=39.5500, avg_reward_per_step=0.0903, rejected_tasks=190, completed_jobs=48, wall_time=156.45
episode=121, steps=478, epsilon=0.0500, server_farm_reward=103.4300, server_reward=58.3600, episode_total_reward=161.7900, avg_reward_per_step=0.3385, rejected_tasks=154, completed_jobs=52, wall_time=194.44
episode=122, steps=450, epsilon=0.0500, server_farm_reward=15.8500, server_reward=-10.0100, episode_total_reward=5.8400, avg_reward_per_step=0.0130, rejected_tasks=222, completed_jobs=47, wall_time=147.39
episode=123, steps=458, epsilon=0.0500, server_farm_reward=69.1700, server_reward=33.4200, episode_total_reward=102.5900, avg_reward_per_step=0.2240, rejected_tasks=176, completed_jobs=49, wall_time=170.36
episode=124, steps=466, epsilon=0.0500, server_farm_reward=66.3600, server_reward=25.3500, episode_total_reward=91.7100, avg_reward_per_step=0.1968, rejected_tasks=117, completed_jobs=49, wall_time=137.11
episode=125, steps=472, epsilon=0.0500, server_farm_reward=53.9000, server_reward=16.1000, episode_total_reward=70.0000, avg_reward_per_step=0.1483, rejected_tasks=214, completed_jobs=48, wall_time=140.9
episode=126, steps=462, epsilon=0.0500, server_farm_reward=51.9700, server_reward=19.7200, episode_total_reward=71.6900, avg_reward_per_step=0.1552, rejected_tasks=203, completed_jobs=50, wall_time=155.42
episode=127, steps=450, epsilon=0.0500, server_farm_reward=36.5400, server_reward=9.2300, episode_total_reward=45.7700, avg_reward_per_step=0.1017, rejected_tasks=174, completed_jobs=46, wall_time=177.05
episode=128, steps=478, epsilon=0.0500, server_farm_reward=97.2300, server_reward=55.0500, episode_total_reward=152.2800, avg_reward_per_step=0.3186, rejected_tasks=205, completed_jobs=51, wall_time=156.91
episode=129, steps=446, epsilon=0.0500, server_farm_reward=46.2500, server_reward=19.7400, episode_total_reward=65.9900, avg_reward_per_step=0.1480, rejected_tasks=183, completed_jobs=49, wall_time=143.84
episode=130, steps=468, epsilon=0.0500, server_farm_reward=92.0600, server_reward=55.5200, episode_total_reward=147.5800, avg_reward_per_step=0.3153, rejected_tasks=177, completed_jobs=51, wall_time=180.01
episode=131, steps=452, epsilon=0.0500, server_farm_reward=19.7500, server_reward=-5.5800, episode_total_reward=14.1700, avg_reward_per_step=0.0313, rejected_tasks=207, completed_jobs=45, wall_time=159.21
episode=132, steps=454, epsilon=0.0500, server_farm_reward=58.7000, server_reward=24.4800, episode_total_reward=83.1800, avg_reward_per_step=0.1832, rejected_tasks=176, completed_jobs=50, wall_time=158.81
episode=133, steps=480, epsilon=0.0500, server_farm_reward=44.3700, server_reward=4.9000, episode_total_reward=49.2700, avg_reward_per_step=0.1026, rejected_tasks=166, completed_jobs=49, wall_time=142.46
episode=134, steps=468, epsilon=0.0500, server_farm_reward=75.1900, server_reward=36.1600, episode_total_reward=111.3500, avg_reward_per_step=0.2379, rejected_tasks=190, completed_jobs=50, wall_time=158.36
episode=135, steps=456, epsilon=0.0500, server_farm_reward=59.9800, server_reward=25.8000, episode_total_reward=85.7800, avg_reward_per_step=0.1881, rejected_tasks=158, completed_jobs=49, wall_time=138.65
episode=136, steps=456, epsilon=0.0500, server_farm_reward=41.8400, server_reward=3.3200, episode_total_reward=45.1600, avg_reward_per_step=0.0990, rejected_tasks=152, completed_jobs=50, wall_time=172.59
episode=137, steps=472, epsilon=0.0500, server_farm_reward=88.0400, server_reward=41.7900, episode_total_reward=129.8300, avg_reward_per_step=0.2751, rejected_tasks=191, completed_jobs=51, wall_time=171.78
episode=138, steps=448, epsilon=0.0500, server_farm_reward=63.1300, server_reward=24.1700, episode_total_reward=87.3000, avg_reward_per_step=0.1949, rejected_tasks=161, completed_jobs=50, wall_time=158.91
episode=139, steps=470, epsilon=0.0500, server_farm_reward=93.6500, server_reward=53.4200, episode_total_reward=147.0700, avg_reward_per_step=0.3129, rejected_tasks=179, completed_jobs=51, wall_time=184.51
episode=140, steps=476, epsilon=0.0500, server_farm_reward=90.0200, server_reward=44.1900, episode_total_reward=134.2100, avg_reward_per_step=0.2820, rejected_tasks=183, completed_jobs=50, wall_time=157.27
episode=141, steps=460, epsilon=0.0500, server_farm_reward=35.9000, server_reward=8.8900, episode_total_reward=44.7900, avg_reward_per_step=0.0974, rejected_tasks=204, completed_jobs=47, wall_time=146.27
