episode=210, steps=478, server_farm_reward=50.9610, server_reward=52.5460, episode_total_reward=103.5070, avg_reward_per_step=0.2165
episode=211, steps=464, server_farm_reward=56.1930, server_reward=57.9660, episode_total_reward=114.1590, avg_reward_per_step=0.2460
episode=212, steps=478, server_farm_reward=56.4290, server_reward=58.2100, episode_total_reward=114.6390, avg_reward_per_step=0.2398
episode=213, steps=460, server_farm_reward=55.6480, server_reward=57.5680, episode_total_reward=113.2160, avg_reward_per_step=0.2461
episode=214, steps=436, server_farm_reward=44.4100, server_reward=45.7800, episode_total_reward=90.1900, avg_reward_per_step=0.2069
episode=215, steps=440, server_farm_reward=44.2550, server_reward=45.6980, episode_total_reward=89.9530, avg_reward_per_step=0.2044
episode=216, steps=472, server_farm_reward=51.7880, server_reward=53.5240, episode_total_reward=105.3120, avg_reward_per_step=0.2231
episode=217, steps=476, server_farm_reward=58.0640, server_reward=59.8400, episode_total_reward=117.9040, avg_reward_per_step=0.2477
episode=218, steps=440, server_farm_reward=47.2300, server_reward=48.6160, episode_total_reward=95.8460, avg_reward_per_step=0.2178
episode=219, steps=462, server_farm_reward=54.6140, server_reward=56.3120, episode_total_reward=110.9260, avg_reward_per_step=0.2401
episode=220, steps=484, server_farm_reward=61.8040, server_reward=63.5400, episode_total_reward=125.3440, avg_reward_per_step=0.2590
episode=221, steps=468, server_farm_reward=51.6270, server_reward=53.1940, episode_total_reward=104.8210, avg_reward_per_step=0.2240
episode=222, steps=446, server_farm_reward=47.0580, server_reward=48.4840, episode_total_reward=95.5420, avg_reward_per_step=0.2142
episode=223, steps=488, server_farm_reward=60.0450, server_reward=61.7900, episode_total_reward=121.8350, avg_reward_per_step=0.2497
episode=224, steps=452, server_farm_reward=46.3540, server_reward=47.7280, episode_total_reward=94.0820, avg_reward_per_step=0.2081
episode=225, steps=418, server_farm_reward=42.7520, server_reward=44.1080, episode_total_reward=86.8600, avg_reward_per_step=0.2078
episode=226, steps=460, server_farm_reward=50.7140, server_reward=52.2800, episode_total_reward=102.9940, avg_reward_per_step=0.2239
episode=227, steps=470, server_farm_reward=47.3740, server_reward=48.8720, episode_total_reward=96.2460, avg_reward_per_step=0.2048
episode=228, steps=478, server_farm_reward=57.5350, server_reward=59.2740, episode_total_reward=116.8090, avg_reward_per_step=0.2444
