episode=56, steps=872, epsilon=0.0100, server_farm_reward=554.8500, server_reward=469.9700, episode_total_reward=1024.8200, avg_reward_per_step=1.1753, rejected_tasks=47, completed_jobs=56, wall_time=167.08
episode=57, steps=798, epsilon=0.0100, server_farm_reward=496.1600, server_reward=421.9900, episode_total_reward=918.1500, avg_reward_per_step=1.1506, rejected_tasks=95, completed_jobs=56, wall_time=150.42
episode=58, steps=760, epsilon=0.0100, server_farm_reward=452.6800, server_reward=386.1700, episode_total_reward=838.8500, avg_reward_per_step=1.1037, rejected_tasks=104, completed_jobs=54, wall_time=162.86
episode=59, steps=702, epsilon=0.0100, server_farm_reward=410.9900, server_reward=347.8600, episode_total_reward=758.8500, avg_reward_per_step=1.0810, rejected_tasks=93, completed_jobs=53, wall_time=184.41
episode=60, steps=968, epsilon=0.0100, server_farm_reward=615.6700, server_reward=518.4200, episode_total_reward=1134.0900, avg_reward_per_step=1.1716, rejected_tasks=35, completed_jobs=59, wall_time=182.29
episode=61, steps=824, epsilon=0.0100, server_farm_reward=531.4900, server_reward=450.5600, episode_total_reward=982.0500, avg_reward_per_step=1.1918, rejected_tasks=40, completed_jobs=52, wall_time=170.31
episode=62, steps=760, epsilon=0.0100, server_farm_reward=461.9700, server_reward=386.1600, episode_total_reward=848.1300, avg_reward_per_step=1.1160, rejected_tasks=78, completed_jobs=55, wall_time=163.45
episode=63, steps=848, epsilon=0.0100, server_farm_reward=549.2000, server_reward=461.8700, episode_total_reward=1011.0700, avg_reward_per_step=1.1923, rejected_tasks=58, completed_jobs=57, wall_time=156.45
episode=64, steps=848, epsilon=0.0100, server_farm_reward=523.1700, server_reward=436.1900, episode_total_reward=959.3600, avg_reward_per_step=1.1313, rejected_tasks=72, completed_jobs=57, wall_time=167.78
episode=65, steps=800, epsilon=0.0100, server_farm_reward=479.7000, server_reward=416.8000, episode_total_reward=896.5000, avg_reward_per_step=1.1206, rejected_tasks=98, completed_jobs=54, wall_time=197.19
episode=66, steps=854, epsilon=0.0100, server_farm_reward=548.0100, server_reward=468.7100, episode_total_reward=1016.7200, avg_reward_per_step=1.1905, rejected_tasks=75, completed_jobs=54, wall_time=165.63
episode=67, steps=986, epsilon=0.0100, server_farm_reward=652.2400, server_reward=554.9900, episode_total_reward=1207.2300, avg_reward_per_step=1.2244, rejected_tasks=39, completed_jobs=59, wall_time=165.65
episode=68, steps=848, epsilon=0.0100, server_farm_reward=553.6200, server_reward=461.8700, episode_total_reward=1015.4900, avg_reward_per_step=1.1975, rejected_tasks=37, completed_jobs=55, wall_time=158.3
episode=69, steps=806, epsilon=0.0100, server_farm_reward=513.5000, server_reward=436.4600, episode_total_reward=949.9600, avg_reward_per_step=1.1786, rejected_tasks=77, completed_jobs=55, wall_time=159.88
episode=70, steps=928, epsilon=0.0100, server_farm_reward=606.0800, server_reward=516.6900, episode_total_reward=1122.7700, avg_reward_per_step=1.2099, rejected_tasks=54, completed_jobs=58, wall_time=160.05
episode=71, steps=772, epsilon=0.0100, server_farm_reward=505.7000, server_reward=425.5200, episode_total_reward=931.2200, avg_reward_per_step=1.2062, rejected_tasks=44, completed_jobs=55, wall_time=177.31
episode=72, steps=968, epsilon=0.0100, server_farm_reward=656.5000, server_reward=556.9400, episode_total_reward=1213.4400, avg_reward_per_step=1.2536, rejected_tasks=43, completed_jobs=58, wall_time=158.84
episode=73, steps=734, epsilon=0.0100, server_farm_reward=424.4600, server_reward=354.3900, episode_total_reward=778.8500, avg_reward_per_step=1.0611, rejected_tasks=81, completed_jobs=51, wall_time=151.88
episode=74, steps=986, epsilon=0.0100, server_farm_reward=661.1000, server_reward=558.2000, episode_total_reward=1219.3000, avg_reward_per_step=1.2366, rejected_tasks=30, completed_jobs=59, wall_time=191.04
episode=75, steps=1032, epsilon=0.0100, server_farm_reward=679.6400, server_reward=592.4500, episode_total_reward=1272.0900, avg_reward_per_step=1.2326, rejected_tasks=43, completed_jobs=56, wall_time=171.49
episode=76, steps=884, epsilon=0.0100, server_farm_reward=529.3400, server_reward=441.9200, episode_total_reward=971.2600, avg_reward_per_step=1.0987, rejected_tasks=59, completed_jobs=57, wall_time=162.5
episode=77, steps=782, epsilon=0.0100, server_farm_reward=481.6200, server_reward=405.8900, episode_total_reward=887.5100, avg_reward_per_step=1.1349, rejected_tasks=82, completed_jobs=55, wall_time=186.31
episode=78, steps=818, epsilon=0.0100, server_farm_reward=513.5000, server_reward=424.4600, episode_total_reward=937.9600, avg_reward_per_step=1.1467, rejected_tasks=51, completed_jobs=57, wall_time=165.38
episode=79, steps=860, epsilon=0.0100, server_farm_reward=521.3500, server_reward=449.9800, episode_total_reward=971.3300, avg_reward_per_step=1.1295, rejected_tasks=89, completed_jobs=55, wall_time=187.12
episode=80, steps=880, epsilon=0.0100, server_farm_reward=544.4800, server_reward=468.3900, episode_total_reward=1012.8700, avg_reward_per_step=1.1510, rejected_tasks=52, completed_jobs=56, wall_time=211.15
episode=81, steps=852, epsilon=0.0100, server_farm_reward=499.0600, server_reward=432.1700, episode_total_reward=931.2300, avg_reward_per_step=1.0930, rejected_tasks=62, completed_jobs=52, wall_time=144.81
