episode=47, steps=760, server_farm_reward=529.5800, server_reward=440.7300, episode_total_reward=970.3100, avg_reward_per_step=1.2767, rejected_tasks=37, completed_jobs=56, wall_time=173.52, policy_loss=-0.0374, value_loss=0.0171
episode=48, steps=696, server_farm_reward=395.3300, server_reward=331.5000, episode_total_reward=726.8300, avg_reward_per_step=1.0443, rejected_tasks=88, completed_jobs=54, wall_time=165.57, policy_loss=-0.0173, value_loss=0.0257
episode=49, steps=708, server_farm_reward=414.4300, server_reward=341.8600, episode_total_reward=756.2900, avg_reward_per_step=1.0682, rejected_tasks=85, completed_jobs=53, wall_time=171.46, policy_loss=-0.0169, value_loss=0.0250
episode=50, steps=624, server_farm_reward=322.0100, server_reward=258.9400, episode_total_reward=580.9500, avg_reward_per_step=0.9310, rejected_tasks=107, completed_jobs=53, wall_time=139.67, policy_loss=0.0041, value_loss=0.0375
episode=51, steps=668, server_farm_reward=363.8400, server_reward=298.4000, episode_total_reward=662.2400, avg_reward_per_step=0.9914, rejected_tasks=140, completed_jobs=55, wall_time=161.17, policy_loss=-0.0083, value_loss=0.0325
episode=52, steps=686, server_farm_reward=371.5700, server_reward=315.7100, episode_total_reward=687.2800, avg_reward_per_step=1.0019, rejected_tasks=142, completed_jobs=53, wall_time=137.93, policy_loss=-0.0074, value_loss=0.0324
episode=53, steps=658, server_farm_reward=376.9000, server_reward=308.4100, episode_total_reward=685.3100, avg_reward_per_step=1.0415, rejected_tasks=93, completed_jobs=54, wall_time=153.39, policy_loss=-0.0024, value_loss=0.0332
episode=54, steps=682, server_farm_reward=379.1700, server_reward=319.8100, episode_total_reward=698.9800, avg_reward_per_step=1.0249, rejected_tasks=102, completed_jobs=52, wall_time=146.53, policy_loss=-0.0057, value_loss=0.0287
episode=55, steps=758, server_farm_reward=472.7400, server_reward=394.5800, episode_total_reward=867.3200, avg_reward_per_step=1.1442, rejected_tasks=83, completed_jobs=55, wall_time=156.92, policy_loss=-0.0253, value_loss=0.0203
episode=56, steps=678, server_farm_reward=375.5800, server_reward=304.4500, episode_total_reward=680.0300, avg_reward_per_step=1.0030, rejected_tasks=107, completed_jobs=55, wall_time=154.04, policy_loss=-0.0108, value_loss=0.0321
episode=57, steps=954, server_farm_reward=637.9200, server_reward=548.5700, episode_total_reward=1186.4900, avg_reward_per_step=1.2437, rejected_tasks=60, completed_jobs=58, wall_time=207.82, policy_loss=-0.0524, value_loss=0.0136
episode=58, steps=804, server_farm_reward=505.1700, server_reward=438.5600, episode_total_reward=943.7300, avg_reward_per_step=1.1738, rejected_tasks=63, completed_jobs=54, wall_time=164.99, policy_loss=-0.0319, value_loss=0.0145
episode=59, steps=922, server_farm_reward=593.9500, server_reward=506.6400, episode_total_reward=1100.5900, avg_reward_per_step=1.1937, rejected_tasks=40, completed_jobs=56, wall_time=164.28, policy_loss=-0.0282, value_loss=0.0112
episode=60, steps=722, server_farm_reward=404.4900, server_reward=347.1200, episode_total_reward=751.6100, avg_reward_per_step=1.0410, rejected_tasks=126, completed_jobs=54, wall_time=199.11, policy_loss=-0.0153, value_loss=0.0217
episode=61, steps=738, server_farm_reward=409.1600, server_reward=347.2800, episode_total_reward=756.4400, avg_reward_per_step=1.0250, rejected_tasks=103, completed_jobs=53, wall_time=147.72, policy_loss=-0.0053, value_loss=0.0281
episode=62, steps=758, server_farm_reward=445.8600, server_reward=378.5300, episode_total_reward=824.3900, avg_reward_per_step=1.0876, rejected_tasks=107, completed_jobs=54, wall_time=146.07, policy_loss=-0.0129, value_loss=0.0258
episode=63, steps=758, server_farm_reward=484.5100, server_reward=401.0000, episode_total_reward=885.5100, avg_reward_per_step=1.1682, rejected_tasks=75, completed_jobs=55, wall_time=176.06, policy_loss=-0.0181, value_loss=0.0182
episode=64, steps=694, server_farm_reward=383.6000, server_reward=317.3400, episode_total_reward=700.9400, avg_reward_per_step=1.0100, rejected_tasks=111, completed_jobs=55, wall_time=148.92, policy_loss=0.0003, value_loss=0.0269
episode=65, steps=740, server_farm_reward=421.1000, server_reward=341.9600, episode_total_reward=763.0600, avg_reward_per_step=1.0312, rejected_tasks=95, completed_jobs=56, wall_time=151.25, policy_loss=-0.0023, value_loss=0.0302
episode=66, steps=818, server_farm_reward=492.1600, server_reward=401.9900, episode_total_reward=894.1500, avg_reward_per_step=1.0931, rejected_tasks=68, completed_jobs=56, wall_time=165.83, policy_loss=-0.0125, value_loss=0.0246
episode=67, steps=712, server_farm_reward=375.2600, server_reward=302.6000, episode_total_reward=677.8600, avg_reward_per_step=0.9521, rejected_tasks=107, completed_jobs=55, wall_time=160.67, policy_loss=-0.0027, value_loss=0.0311
episode=68, steps=742, server_farm_reward=453.1900, server_reward=372.0600, episode_total_reward=825.2500, avg_reward_per_step=1.1122, rejected_tasks=87, completed_jobs=56, wall_time=145.72, policy_loss=-0.0042, value_loss=0.0238
episode=69, steps=800, server_farm_reward=439.6800, server_reward=362.2100, episode_total_reward=801.8900, avg_reward_per_step=1.0024, rejected_tasks=86, completed_jobs=56, wall_time=148.69, policy_loss=0.0099, value_loss=0.0280
