episode=56, steps=910, epsilon=0.0100, server_farm_reward=581.0000, server_reward=496.1700, episode_total_reward=1077.1700, avg_reward_per_step=1.1837, rejected_tasks=66, completed_jobs=56, wall_time=173.99
episode=57, steps=972, epsilon=0.0100, server_farm_reward=678.6300, server_reward=568.9900, episode_total_reward=1247.6200, avg_reward_per_step=1.2836, rejected_tasks=9, completed_jobs=59, wall_time=171.27
episode=58, steps=896, epsilon=0.0100, server_farm_reward=568.6700, server_reward=474.8600, episode_total_reward=1043.5300, avg_reward_per_step=1.1647, rejected_tasks=65, completed_jobs=58, wall_time=166.6
episode=59, steps=824, epsilon=0.0100, server_farm_reward=504.1700, server_reward=418.4600, episode_total_reward=922.6300, avg_reward_per_step=1.1197, rejected_tasks=57, completed_jobs=57, wall_time=200.51
episode=60, steps=810, epsilon=0.0100, server_farm_reward=506.9600, server_reward=419.6200, episode_total_reward=926.5800, avg_reward_per_step=1.1439, rejected_tasks=62, completed_jobs=57, wall_time=167.63
episode=61, steps=924, epsilon=0.0100, server_farm_reward=624.8500, server_reward=533.5500, episode_total_reward=1158.4000, avg_reward_per_step=1.2537, rejected_tasks=31, completed_jobs=55, wall_time=189.75
episode=62, steps=756, epsilon=0.0100, server_farm_reward=479.6700, server_reward=386.9500, episode_total_reward=866.6200, avg_reward_per_step=1.1463, rejected_tasks=66, completed_jobs=56, wall_time=141.31
episode=63, steps=698, epsilon=0.0100, server_farm_reward=441.3200, server_reward=374.3300, episode_total_reward=815.6500, avg_reward_per_step=1.1686, rejected_tasks=106, completed_jobs=53, wall_time=163.44
episode=64, steps=844, epsilon=0.0100, server_farm_reward=548.8600, server_reward=459.4500, episode_total_reward=1008.3100, avg_reward_per_step=1.1947, rejected_tasks=76, completed_jobs=56, wall_time=170.22
episode=65, steps=906, epsilon=0.0100, server_farm_reward=573.0300, server_reward=493.7500, episode_total_reward=1066.7800, avg_reward_per_step=1.1775, rejected_tasks=53, completed_jobs=56, wall_time=170.01
episode=66, steps=750, epsilon=0.0100, server_farm_reward=495.2200, server_reward=415.4200, episode_total_reward=910.6400, avg_reward_per_step=1.2142, rejected_tasks=80, completed_jobs=56, wall_time=209.06
episode=67, steps=754, epsilon=0.0100, server_farm_reward=460.2000, server_reward=385.7400, episode_total_reward=845.9400, avg_reward_per_step=1.1219, rejected_tasks=96, completed_jobs=54, wall_time=173.33
episode=68, steps=1028, epsilon=0.0100, server_farm_reward=704.5000, server_reward=606.0800, episode_total_reward=1310.5800, avg_reward_per_step=1.2749, rejected_tasks=31, completed_jobs=58, wall_time=162.28
episode=69, steps=878, epsilon=0.0100, server_farm_reward=548.6000, server_reward=467.1800, episode_total_reward=1015.7800, avg_reward_per_step=1.1569, rejected_tasks=67, completed_jobs=57, wall_time=149.42
episode=70, steps=880, epsilon=0.0100, server_farm_reward=549.4000, server_reward=468.3900, episode_total_reward=1017.7900, avg_reward_per_step=1.1566, rejected_tasks=90, completed_jobs=56, wall_time=175.27
episode=71, steps=718, epsilon=0.0100, server_farm_reward=405.8000, server_reward=338.2800, episode_total_reward=744.0800, avg_reward_per_step=1.0363, rejected_tasks=96, completed_jobs=55, wall_time=146.23
episode=72, steps=810, epsilon=0.0100, server_farm_reward=489.8800, server_reward=422.8300, episode_total_reward=912.7100, avg_reward_per_step=1.1268, rejected_tasks=94, completed_jobs=52, wall_time=172.08
episode=73, steps=930, epsilon=0.0100, server_farm_reward=619.2800, server_reward=524.3200, episode_total_reward=1143.6000, avg_reward_per_step=1.2297, rejected_tasks=41, completed_jobs=58, wall_time=158.03
episode=74, steps=800, epsilon=0.0100, server_farm_reward=496.6800, server_reward=423.2000, episode_total_reward=919.8800, avg_reward_per_step=1.1498, rejected_tasks=84, completed_jobs=56, wall_time=171.12
episode=75, steps=816, epsilon=0.0100, server_farm_reward=489.3200, server_reward=407.2000, episode_total_reward=896.5200, avg_reward_per_step=1.0987, rejected_tasks=87, completed_jobs=54, wall_time=160.05
episode=76, steps=826, epsilon=0.0100, server_farm_reward=543.9800, server_reward=467.8200, episode_total_reward=1011.8000, avg_reward_per_step=1.2249, rejected_tasks=56, completed_jobs=55, wall_time=195.33
episode=77, steps=862, epsilon=0.0100, server_farm_reward=527.6500, server_reward=454.3900, episode_total_reward=982.0400, avg_reward_per_step=1.1393, rejected_tasks=71, completed_jobs=55, wall_time=142.0
episode=78, steps=856, epsilon=0.0100, server_farm_reward=563.0700, server_reward=476.3400, episode_total_reward=1039.4100, avg_reward_per_step=1.2143, rejected_tasks=53, completed_jobs=57, wall_time=171.73
episode=79, steps=770, epsilon=0.0100, server_farm_reward=491.9700, server_reward=411.4700, episode_total_reward=903.4400, avg_reward_per_step=1.1733, rejected_tasks=54, completed_jobs=56, wall_time=170.18
episode=80, steps=822, epsilon=0.0100, server_farm_reward=530.7100, server_reward=449.3500, episode_total_reward=980.0600, avg_reward_per_step=1.1923, rejected_tasks=99, completed_jobs=57, wall_time=150.1
episode=81, steps=904, epsilon=0.0100, server_farm_reward=548.2700, server_reward=466.8800, episode_total_reward=1015.1500, avg_reward_per_step=1.1230, rejected_tasks=56, completed_jobs=55, wall_time=170.06
episode=82, steps=858, epsilon=0.0100, server_farm_reward=562.8600, server_reward=487.1800, episode_total_reward=1050.0400, avg_reward_per_step=1.2238, rejected_tasks=62, completed_jobs=54, wall_time=183.01
episode=83, steps=890, epsilon=0.0100, server_farm_reward=524.1100, server_reward=448.7600, episode_total_reward=972.8700, avg_reward_per_step=1.0931, rejected_tasks=80, completed_jobs=56, wall_time=169.05
